
臺中市 113年11月全區各區人口結構,,,,,,,,,,,,,,,,,,,,,,,
區域別,性別,總計,0-4歲合計,5-9歲合計,10-14歲合計,15-19歲合計,20-24歲合計,25-29歲合計,30-34歲合計,35-39歲合計,40-44歲合計,45-49歲合計,50-54歲合計,55-59歲合計,60-64歲合計,65-69歲合計,70-74歲合計,75-79歲合計,80-84歲合計,85-89歲合計,90-94歲合計,95-99歲合計,100歲以上
總計,計,"2,858,958","99,411","136,961","136,602","132,988","161,247","197,914","209,514","207,830","247,543","237,548","207,891","209,364","202,101","175,701","137,144","71,176","47,208","26,657","10,780","2,950",428
總計,男,"1,396,004","51,528","71,095","70,705","68,993","83,215","101,631","106,652","104,006","120,861","114,221","97,571","98,533","94,759","81,989","63,046","31,859","19,593","10,117","4,126","1,307",197
總計,女,"1,462,954","47,883","65,866","65,897","63,995","78,032","96,283","102,862","103,824","126,682","123,327","110,320","110,831","107,342","93,712","74,098","39,317","27,615","16,540","6,654","1,643",231
中區,計,"17,910",445,"1,063","1,765",697,732,842,834,"1,064","1,445","1,388","1,164","1,149","1,281","1,336","1,230",664,424,258,97,29,3
中區,男,"8,749",224,536,911,361,347,435,414,491,632,656,560,586,652,653,610,336,198,93,40,12,2
中區,女,"9,161",221,527,854,336,385,407,420,573,813,732,604,563,629,683,620,328,226,165,57,17,1
東區,計,"77,714","2,492","3,127","3,010","3,250","4,086","5,092","5,661","5,767","6,843","6,414","5,709","5,804","5,794","5,148","4,449","2,224","1,549",819,344,113,19
東區,男,"38,165","1,340","1,668","1,585","1,704","2,114","2,588","2,856","2,941","3,426","3,146","2,701","2,757","2,731","2,427","2,047",988,633,308,136,59,10
東區,女,"39,549","1,152","1,459","1,425","1,546","1,972","2,504","2,805","2,826","3,417","3,268","3,008","3,047","3,063","2,721","2,402","1,236",916,511,208,54,9
南區,計,"127,187","4,159","5,508","4,722","6,160","7,589","9,118","9,170","8,894","10,721","11,473","11,127","10,293","8,636","7,173","5,646","3,094","1,957","1,152",456,113,26
南區,男,"60,544","2,164","2,859","2,490","3,215","3,922","4,720","4,532","4,360","5,025","5,202","4,854","4,711","3,952","3,241","2,460","1,352",814,449,160,48,14
南區,女,"66,643","1,995","2,649","2,232","2,945","3,667","4,398","4,638","4,534","5,696","6,271","6,273","5,582","4,684","3,932","3,186","1,742","1,143",703,296,65,12
西區,計,"113,859","3,114","5,717","6,931","4,861","5,642","6,961","7,212","7,290","9,065","8,954","8,528","8,687","8,242","7,869","6,486","3,591","2,459","1,481",555,177,37
西區,男,"53,440","1,596","2,982","3,508","2,481","2,902","3,510","3,526","3,435","4,125","4,034","3,734","3,867","3,763","3,582","2,896","1,603","1,013",559,224,78,22
西區,女,"60,419","1,518","2,735","3,423","2,380","2,740","3,451","3,686","3,855","4,940","4,920","4,794","4,820","4,479","4,287","3,590","1,988","1,446",922,331,99,15
北區,計,"143,544","4,197","5,832","5,515","5,787","7,141","9,371","10,396","10,169","11,803","11,291","10,441","10,962","11,219","10,472","8,630","4,597","2,973","1,714",734,256,44
北區,男,"67,959","2,182","2,984","2,774","3,050","3,640","4,710","5,172","5,051","5,694","5,176","4,739","4,858","5,004","4,793","3,904","2,005","1,191",640,258,113,21
北區,女,"75,585","2,015","2,848","2,741","2,737","3,501","4,661","5,224","5,118","6,109","6,115","5,702","6,104","6,215","5,679","4,726","2,592","1,782","1,074",476,143,23
西屯區,計,"236,465","8,311","12,457","12,934","11,362","13,211","16,367","16,990","16,674","20,232","19,860","18,210","18,435","16,750","13,588","10,022","5,124","3,203","1,725",741,229,40
西屯區,男,"112,491","4,307","6,440","6,767","5,941","6,765","8,172","8,357","8,099","9,465","8,915","8,037","8,339","7,631","6,201","4,587","2,205","1,201",616,303,117,26
西屯區,女,"123,974","4,004","6,017","6,167","5,421","6,446","8,195","8,633","8,575","10,767","10,945","10,173","10,096","9,119","7,387","5,435","2,919","2,002","1,109",438,112,14
南屯區,計,"184,798","7,049","10,477","10,202","9,321","11,022","13,320","13,297","13,146","15,418","15,470","14,999","14,651","12,508","9,266","6,936","3,481","2,329","1,259",493,131,23
南屯區,男,"87,552","3,639","5,460","5,322","4,867","5,719","6,736","6,469","6,240","7,032","6,795","6,433","6,531","5,783","4,240","3,132","1,509",926,465,188,55,11
南屯區,女,"97,246","3,410","5,017","4,880","4,454","5,303","6,584","6,828","6,906","8,386","8,675","8,566","8,120","6,725","5,026","3,804","1,972","1,403",794,305,76,12
北屯區,計,"310,222","12,138","16,131","15,151","13,788","16,104","21,292","24,143","24,821","27,810","25,797","22,625","22,558","21,150","18,055","13,618","7,039","4,430","2,294",947,300,31
北屯區,男,"146,987","6,362","8,345","7,702","7,089","8,129","10,803","11,995","12,002","13,052","11,850","9,921","10,000","9,356","8,153","6,083","3,001","1,745",845,380,161,13
北屯區,女,"163,235","5,776","7,786","7,449","6,699","7,975","10,489","12,148","12,819","14,758","13,947","12,704","12,558","11,794","9,902","7,535","4,038","2,685","1,449",567,139,18
豐原區,計,"163,254","5,255","7,917","8,348","7,722","8,992","11,010","11,206","11,288","13,937","13,502","11,100","11,539","11,588","10,776","8,503","4,633","3,143","1,875",743,155,22
豐原區,男,"80,083","2,754","4,113","4,324","3,974","4,670","5,708","5,800","5,736","6,871","6,522","5,344","5,495","5,351","4,974","3,872","2,150","1,356",732,269,59,9
豐原區,女,"83,171","2,501","3,804","4,024","3,748","4,322","5,302","5,406","5,552","7,066","6,980","5,756","6,044","6,237","5,802","4,631","2,483","1,787","1,143",474,96,13
東勢區,計,"47,152","1,230","1,546","1,511","1,918","2,645","3,152","2,937","2,945","3,546","3,405","3,321","3,669","3,868","3,633","3,080","1,868","1,483",885,393,104,13
東勢區,男,"23,944",634,763,766,"1,062","1,419","1,634","1,594","1,567","1,821","1,674","1,730","1,920","1,975","1,822","1,479",868,639,389,143,40,5
東勢區,女,"23,208",596,783,745,856,"1,226","1,518","1,343","1,378","1,725","1,731","1,591","1,749","1,893","1,811","1,601","1,000",844,496,250,64,8
大甲區,計,"74,171","2,568","3,669","3,817","3,558","4,431","5,087","5,365","5,185","6,039","5,661","4,724","5,185","5,319","4,846","3,811","2,014","1,553",909,340,79,11
大甲區,男,"37,085","1,340","1,921","2,006","1,882","2,272","2,582","2,762","2,660","3,063","2,866","2,361","2,558","2,572","2,329","1,816",947,641,358,114,33,2
大甲區,女,"37,086","1,228","1,748","1,811","1,676","2,159","2,505","2,603","2,525","2,976","2,795","2,363","2,627","2,747","2,517","1,995","1,067",912,551,226,46,9
清水區,計,"90,468","3,288","4,040","3,885","4,197","5,324","6,147","6,600","6,752","8,192","7,602","6,258","6,247","6,050","5,451","4,582","2,446","1,712","1,107",489,87,12
清水區,男,"46,083","1,723","2,145","1,991","2,193","2,769","3,221","3,529","3,478","4,210","3,923","3,217","3,224","3,054","2,718","2,201","1,107",754,417,173,32,4
清水區,女,"44,385","1,565","1,895","1,894","2,004","2,555","2,926","3,071","3,274","3,982","3,679","3,041","3,023","2,996","2,733","2,381","1,339",958,690,316,55,8
沙鹿區,計,"100,057","3,966","5,655","6,137","5,275","5,747","6,729","7,089","7,139","9,504","9,587","7,392","6,256","5,553","5,008","4,263","2,184","1,443",754,296,67,13
沙鹿區,男,"50,033","2,031","2,936","3,208","2,734","3,032","3,495","3,651","3,596","4,740","4,948","3,675","3,095","2,679","2,308","1,942",932,605,283,110,28,5
沙鹿區,女,"50,024","1,935","2,719","2,929","2,541","2,715","3,234","3,438","3,543","4,764","4,639","3,717","3,161","2,874","2,700","2,321","1,252",838,471,186,39,8
梧棲區,計,"62,606","2,406","3,332","3,116","3,144","3,779","4,341","4,700","4,744","6,129","5,519","4,255","3,916","3,846","3,602","2,733","1,421",877,526,172,44,4
梧棲區,男,"31,256","1,268","1,724","1,588","1,607","1,943","2,233","2,385","2,413","3,071","2,727","2,126","1,940","1,918","1,707","1,271",672,372,211,63,15,2
梧棲區,女,"31,350","1,138","1,608","1,528","1,537","1,836","2,108","2,315","2,331","3,058","2,792","2,129","1,976","1,928","1,895","1,462",749,505,315,109,29,2
后里區,計,"53,318","1,832","2,368","2,408","2,619","3,268","3,723","3,660","3,560","4,513","4,449","3,747","3,796","3,692","3,320","2,746","1,576","1,070",633,267,65,6
后里區,男,"26,740",930,"1,241","1,227","1,310","1,703","1,915","1,909","1,856","2,197","2,260","1,901","1,950","1,886","1,610","1,244",740,475,234,122,28,2
后里區,女,"26,578",902,"1,127","1,181","1,309","1,565","1,808","1,751","1,704","2,316","2,189","1,846","1,846","1,806","1,710","1,502",836,595,399,145,37,4
神岡區,計,"64,027","2,142","2,642","2,658","3,102","3,819","4,713","4,603","4,584","5,477","5,183","4,486","4,525","4,810","4,268","3,163","1,673","1,153",714,248,56,8
